############################################################
#
#   Конфигурация записей квестов в Pip-Boy. Формат описания:
#
#   1) локация, 2) описание квеста, 3) номер GVAR, 4) открытие квеста, 5) завершение квеста
#
#   --------------------------------------------------------
#
#   Подробнее:
#
#   1. Название локации по номеру в файле map.msg.
#   2. Номер строки в файле quests.msg с описанием квеста для отображения в PiPBoy.
#   3. Номер переменной GVAR, отвечающей за квест.
#   4. Мин. значение GVAR, при котором квест будет открыт.
#   5. Мин. значение GVAR, при котором квест будет считаться завершенным.
#
#   --------------------------------------------------------
#
#   Внимание! В Pip-Boy умещается лишь 18 строчек текста, остальное выпадает за границы окна
#
############################################################


#-----------------------------------------------------------
#              Вилла
#-----------------------------------------------------------

# Узнать о налетчиках в Гараж-Сити
# GVAR_MAIN_QUEST_VILLA
1500, 100, 79, 1, 2

# Освободить своих соплеменников в Флагпуле
# GVAR_MAIN_QUEST_FLAGSTAFF
1500, 101, 84, 1, 2

# Освободить своих соплеменников в Ту-Сане
# GVAR_MAIN_QUEST_TWOSUN
1500, 102, 85, 1, 2

# Выступить перед Советом общины
# GVAR_MAIN_QUEST_SYNOD_VILLA
1500, 103, 183, 1, 2

# Отыскать в погребах семейные реликвии
# GVAR_VILLA_RELICT
1500, 104, 80, 1, 2

# Жителю требуется медицинская помощь
# GVAR_VILLA_MEDIC_HELP
1500, 105, 155, 1, 2

# Найти и вернуть сбежавшего ребенка
# GVAR_VILLA_KID_RUN
1500, 107, 82, 1, 2

# Прогнать мародеров с плантаций Виллы
# GVAR_VILLA_MARAUDERS
1500, 108, 77, 1, 2

# Починить метеостанцию Виллы
# GVAR_VILLA_METEO
1500, 109, 78, 1, 2

# Найти Криса
# GVAR_VILLA_QST_CHRIS
1500, 111, 185, 1, 2

# Совет решил подорвать шахты Флагпула
# GVAR_FLAGSTAFF_MINES_DESTROY
1500, 112, 121, 1, 2

# Совет решил уничтожить станок в Гараж-Сити
# GVAR_GARAGE_STANOK_DESTROY
1500, 113, 223, 1, 2

# Вилла нуждается в союзниках
# GVAR_VILLA_ALLIANCE_PIP
1500, 114, 190, 1, 2

#-----------------------------------------------------------
#              Флагпул
#-----------------------------------------------------------

# Проникнуть в рабский загон и найти там людей Виллы
# GVAR_FLAGSTAFF_SLAVES_DIALOG
1501, 200, 88, 1, 2

# Любым способом освободить соплеменников из загона
# GVAR_FLAGSTAFF_SLAVES_ZAGON
1501, 201, 89, 1, 2

# Спасти соплеменников из западни в шахтах
# GVAR_FLAGSTAFF_SLAVES_MINE
1501, 202, 90, 1, 2

# Починить бурового робота
# GVAR_FLAGSTAFF_ROBOT_REPAIR
1501, 203, 92, 1, 2

